time period,learner,assessor,double-assessment,B-1,B-2,B-3,B-4,B-5,B-6,B-7,B-8,B-9
1,L-A,A-S,,2,2,2,2.5,2.5,2,NA,2,2
1,L-T,A-S,,2,1.5,1.5,1.5,1.5,2,NA,1.5,1.5
2,L-M,A-S,,2,2,2.5,2.5,2.5,2.5,2,2.5,2
2,L-A,A-S,,3,3,3,3,3,3,2.5,3,3
2,L-T,A-S,,2,2,2.5,3,2,2.5,2,2,2
3,L-H,A-K,,3,2.5,3,3.5,3.5,3,NA,3,3.5
3,L-T,A-K,1,3,3.5,2.5,3,3,NA,NA,3.5,3.5
3,L-T,A-O,1,3,3,3,3.5,3,3.5,NA,3,3
5,L-H,A-O,,3,3,3,3,3,3.5,NA,3,3
6,L-H,A-O,,3.5,3,3,3,3,3,NA,NA,3
6,L-K,A-O,,3,3,3,3,3,3,NA,NA,3
7,L-K,A-S,,2,1.5,1,1.5,1.5,2,1.5,1.5,1.5
7,L-H,A-S,,3,3,3,3.5,3,3,2.5,3,3
8,L-K,A-K,,3,3,3,3,3,3.5,3,3,3
8,L-Y,A-K,,3,3.5,3,3,3.5,3,3,3.5,3
9,L-KR,A-S,,3,2,2,3,2.5,2.5,2,2,2
10,L-KA,A-O,,3,3,3,3,3,3,NA,NA,3
10,L-W,A-O,,3,2.5,2.5,2.5,2.5,2.5,NA,NA,2.5
11,L-I,A-S,,3,3,3,3,3,3,2.5,2.5,3.5
11,L-T,A-S,,3,2.5,2.5,3,2,2.5,NA,NA,2.5
